"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2418","@smoke @P1 TC-S01 — Studio page loads with correct heading","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","1","@P2 TC-N01 — App logo/title link returns to Studio from any page","chromium","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1","@P1 TC-S08a — Empty prompt: generate button is disabled","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","2695","@P1 TC-SF05a — Empty script: Parse Script button is disabled","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","3180","@smoke @P2 TC-N01 — All three nav links are visible in the header","firefox","2026-03-16","passed","2026-03-16","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2526","@P2 TC-N01 — Clicking History nav loads the History page","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1682","@P1 TC-S08b — Empty prompt: submitting shows user-facing validation feedback","mobile-safari","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","webkit","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@smoke @P1 TC-SF01 — Stock Footage page loads with correct heading","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Script Parsing","stockFootage\scriptParsing.spec.js","",""
"","0","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","chromium","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","0","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","chromium","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P1 TC-S01 — Prompt textarea accepts input and generate button is present","firefox","2026-03-17","skipped","2026-03-17","Studio — Direct Prompt","studio\prompt.spec.js","",""
"","20514","@smoke @P2 TC-H03 — All Videos tab displays a video count greater than zero","chromium","2026-03-17","failed","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","webkit","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1","@P2 TC-S07 — HQ toggle can be enabled","chromium","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","chromium","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","3389","@P1 TC-H06 — Cookie UUID is assigned on first visit","mobile-safari","2026-03-17","passed","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-SF03 — Settings applied: 8s-portrait-standard","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-H03 — All Videos tab shows videos from multiple different users","chromium","2026-03-17","skipped","2026-03-17","History — All Videos","history\allVideos.spec.js","",""
"","1735","@P2 TC-S06 — Can switch to Portrait","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","2703","@P3 TC-N02 — Navigation does not cause full page reload (SPA routing)","mobile-safari","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1","@P2 TC-S07 — HQ toggle is present and defaults to off","firefox","2026-03-17","skipped","2026-03-17","Studio — High Quality Mode","studio\highQuality.spec.js","",""
"","0","@P2 TC-N01 — Clicking History nav loads the History page","firefox","2026-03-17","skipped","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","1","@P2 TC-H07 — After cookie clear, Your Videos tab shows empty state","chromium","2026-03-17","skipped","2026-03-17","History — Cookie Persistence","history\cookiePersistence.spec.js","",""
"","1","@P2 TC-SF03 — Settings applied: 4s-landscape-standard","firefox","2026-03-17","skipped","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","3014","@P2 TC-SF03 — Settings applied: 12s-portrait-hq","mobile-safari","2026-03-17","passed","2026-03-17","Stock Footage — Generation Settings","stockFootage\generationSettings.spec.js","",""
"","0","@P2 TC-S04 — Value 6 is rejected or clamped to maximum","firefox","2026-03-17","skipped","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1834","@P2 TC-N01 — Clicking Stock Footage nav loads the Stock Footage Generator page","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","2853","@P2 TC-S06 — Default aspect ratio is Landscape","mobile-safari","2026-03-17","passed","2026-03-17","Studio — Aspect Ratio","studio\aspectRatio.spec.js","",""
"","1435","@P2 TC-S04 — Value 0 is rejected or clamped to minimum","mobile-chrome","2026-03-17","passed","2026-03-17","Studio — Video Count","studio\videoCount.spec.js","",""
"","1902","@P2 TC-N01 — Clicking Studio nav returns to the Studio page","mobile-chrome","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
"","8984","@smoke @P2 TC-N01 — All three nav links are visible in the header","chromium","2026-03-17","passed","2026-03-17","Navigation — Header Links","navigation\navigation.spec.js","",""
